t,cmd,alpha,u,mach,h,delta
0.0,-10.0,0.0,30.000000834826057,3.568262783443976,9877.142558264513,0.0
1.0e-6,-10.0,5.243057335169736e-7,30.000000834826057,3.5682627401765847,9877.142558264508,5.8900699132959036e-9
7.499179e-6,-10.0,3.93183853099897e-6,30.000000834826057,3.5682624589740906,9877.142558264237,3.310917309609938e-7
2.5516867e-5,-10.0,1.3378540542500696e-5,30.000000834826057,3.568261679396097,9877.14255826132,3.828443256699036e-6
6.9353875e-5,-10.0,3.636487037962193e-5,30.000000834826057,3.5682597826857245,9877.142558240921,2.819433680999587e-5
0.00011208939,-10.0,5.877706248832784e-5,30.000000834826057,3.568257933636804,9877.14255820289,7.342350449561123e-5
0.00015672183,-10.0,8.214728706628512e-5,30.000000834826057,3.568256002515241,9877.142558144049,0.00014308412951097798
0.00021898831,-10.0,0.0001146034985167243,30.000000834826057,3.5682533084224173,9877.142558029422,0.0002781353437434698
0.00027133586,-10.0,0.00014201269206625064,30.000000834826057,3.5682510434982024,9877.142557903677,0.0004254166019624953
0.00031764767,-10.0,0.00016626941937491278,30.000000834826057,3.568249039725059,9877.142557770083,0.0005811150037840589
0.0003710548,-10.0,0.00019417798174655587,30.000000834826057,3.5682467289624458,9877.142557589908,0.000789945514189869
0.00042639312,-10.0,0.00022334582286477663,30.000000834826057,3.5682443346476953,9877.142557373409,0.0010390356083343892
0.0004903488,-10.0,0.00025637470568595105,30.000000834826057,3.5682415674923385,9877.142557086272,0.0013678574797174954
0.00053950644,-10.0,0.000281508195471774,30.000000834826057,3.568239440604165,9877.14255683794,0.0016500647751615152
0.0005788931,-10.0,0.00030205634570536997,30.000000834826057,3.5682377364745026,9877.142556621757,0.0018944512536306216
0.00061746093,-10.0,0.00032185638645007737,30.000000834826057,3.5682360677771694,9877.14255639504,0.002149359909677663
0.00065518613,-10.0,0.00034155746911973507,30.000000834826057,3.568234435537931,9877.142556159088,0.0024135066227135614
0.00069152407,-10.0,0.00036057537525804076,30.000000834826057,3.568232863323152,9877.142555918876,0.002681667855581165
0.0007237593,-10.0,0.00037651408531991936,30.000000834826057,3.5682314686182526,9877.142555695056,0.0029307372126181896
0.0007524476,-10.0,0.0003911189772594712,30.000000834826057,3.568230227378595,9877.142555487455,0.003161178583574365
0.00077866745,-10.0,0.000404169505595469,30.000000834826057,3.568229092938953,9877.142555290871,0.0033789744864650287
0.0008033497,-10.0,0.0004161789087162902,30.000000834826057,3.568228025026763,9877.14255509988,0.0035902278347770757
0.0008235638,-10.0,0.0004271118879396088,30.000000834826057,3.5682271504399594,9877.14255493926,0.003767713154184321
0.00084767136,-10.0,0.0004387575248874342,30.000000834826057,3.568226107393761,9877.142554742406,0.0039846259767948285
0.0008684433,-10.0,0.0004498088021957219,30.000000834826057,3.568225208669263,9877.142554568178,0.004176075081925662
0.0008868589,-10.0,0.0004590201409298602,30.000000834826057,3.5682244118957582,9877.142554410426,0.004349311075458047
0.0009061847,-10.0,0.00046858485446681,30.000000834826057,3.568223575740871,9877.142554241622,0.004534635518804759
0.00092521287,-10.0,0.0004784613018453211,30.000000834826057,3.5682227524648886,9877.142554071925,0.004720617886462048
0.00094127166,-10.0,0.0004870313366959422,30.000000834826057,3.568222057662612,9877.142553925847,0.004880277792936704
0.0009594463,-10.0,0.0004954011275678396,30.000000834826057,3.5682212713160193,9877.142553757465,0.005063943175209828
0.0009783632,-10.0,0.0005052048356268418,30.000000834826057,3.5682204528565493,9877.142553578653,0.005258443616118127
0.0009938921,-10.0,0.0005125071701991242,30.000000834826057,3.5682197809850704,9877.142553429281,0.005420640175818192
0.0010078812,-10.0,0.0005194638248110108,30.000000834826057,3.5682191757282538,9877.142553292739,0.00556870227332489
0.0010202436,-10.0,0.0005254974123184192,30.000000834826057,3.5682186408573733,9877.142553170532,0.005701076848714434
0.0010383395,-10.0,0.0005353938508246784,30.000000834826057,3.5682178579232566,9877.142552989,0.005897425224054834
0.0010535466,-10.0,0.0005421125445656728,30.000000834826057,3.5682171999729513,9877.142552834064,0.00606479242376749
0.0010671038,-10.0,0.0005488777207794323,30.000000834826057,3.568216613404469,9877.142552694053,0.006215814326144769
0.001080469,-10.0,0.0005555247499445504,30.000000834826057,3.5682160351489207,9877.142552554178,0.0063663631352024385
0.0010937006,-10.0,0.0005615879473689722,30.000000834826057,3.5682154626688,9877.142552414049,0.006517033322357455
0.0011071262,-10.0,0.0005676765594276592,30.000000834826057,3.5682148817994945,9877.142552270243,0.006671558865895533
0.0011196419,-10.0,0.0005741609109158642,30.000000834826057,3.5682143402978426,9877.14255213448,0.006817101456954997
0.0011305342,-10.0,0.0005793055283026469,30.000000834826057,3.5682138690318728,9877.142552014993,0.00694493294150397
0.0011437892,-10.0,0.0005850792142583562,30.000000834826057,3.5682132955444987,9877.142551868188,0.007101952218049549
0.0011546497,-10.0,0.0005903686033185964,30.000000834826057,3.5682128256557633,9877.142551746814,0.007231797839215558
0.0011644701,-10.0,0.0005956693573147041,30.000000834826057,3.568212400765981,9877.142551636232,0.007350130247869837
0.0011746442,-10.0,0.0006002397212152956,30.000000834826057,3.568211960575804,9877.142551520756,0.007473644372205617
0.0011842444,-10.0,0.0006048248054375573,30.000000834826057,3.568211545216514,9877.142551410816,0.007591048204921455
0.001193456,-10.0,0.0006089712459710567,30.000000834826057,3.5682111466672763,9877.14255130446,0.00770448101531289
0.0012027202,-10.0,0.0006130180230872166,30.000000834826057,3.5682107458433348,9877.142551196668,0.007819330366485435
