t,cmd,alpha,u,mach,h
0.0,-10.0,0.0,0.8106382908668529,3.6350483289432964,10892.979662343023
6.081935175812145e-6,-10.0,3.177392610708698e-6,0.8141585812806732,3.6350481309907154,10892.979662342841
2.6181266460200244e-5,-10.0,1.367786168376198e-5,0.8257922978359777,3.6350474768053336,10892.97966233966
7.014317839323724e-5,-10.0,3.664507982268335e-5,0.851238041544379,3.6350460459510088,10892.979662318889
0.00014107242616753752,-10.0,7.369934437651678e-5,0.8922913584883118,3.635043737378475,10892.979662245405
0.0002178059701832296,-10.0,0.00011378389093607024,0.9367099446619258,3.63504123989539,10892.979662110338
0.0003032257611819087,-10.0,0.0001583958787747124,0.9861491553601064,3.63503845970303,10892.979661892055
0.00045252726161422533,-10.0,0.00023638250554249848,1.0725710700662887,3.635033600342438,10892.979661338708
0.000579935168833912,-10.0,0.0003029338405164367,1.1462372002961192,3.6350294535747674,10892.979660693529
0.0007045393501369908,-10.0,0.0003680022836616909,1.2183682716816033,3.635025398074329,10892.979659908673
0.0008438192587012856,-10.0,0.0004406795745711798,1.2988029688250613,3.635020864938288,10892.979658851034
0.0009691455243345646,-10.0,0.0005059346333821455,1.3710782949964635,3.6350167859654436,10892.979657736456
0.0010904922507469909,-10.0,0.0005691598163674841,1.441188549703929,3.6350128365271677,10892.979656510448
0.0012459860343385517,-10.0,0.0006502985168561542,1.5308853369273785,3.635007775733054,10892.979654728422
0.0013860336980376744,-10.0,0.0007232078218238857,1.6119975374876647,3.635003217675816,10892.97965292046
0.001514024677367421,-10.0,0.0007893931874133397,1.6855183532551758,3.634999052036437,10892.979651100133
0.0016350674669246678,-10.0,0.0008523114831136834,1.7547359335269874,3.634995112548914,10892.979649230858
0.0017436144448121902,-10.0,0.000908594273462247,1.8177471588524425,3.6349915797638,10892.97964743342
0.0018457322835379454,-10.0,0.0009615512232508945,1.8763788793101541,3.634988256231729,10892.979645637417
0.0019498454341771972,-10.0,0.001014718306288969,1.93696311429241,3.634984867769602,10892.979643701154
0.0020417502918918936,-10.0,0.0010619495194397724,1.989825455912701,3.6349818766463273,10892.979641904512
0.0021484599446953316,-10.0,0.0011164820006781746,2.051274826569404,3.6349784036973007,10892.979639715448
0.0022850985820902486,-10.0,0.0011871993946202383,2.1304194557259786,3.6349739566996395,10892.97963675066
0.0023880258568286807,-10.0,0.001240087794105822,2.189507192633053,3.6349706068717706,10892.979634395815
0.002497742907207053,-10.0,0.0012956171642329504,2.2518301442275157,3.634967036079821,10892.979631772263
0.002594374965384697,-10.0,0.00134585152120092,2.3062160710774426,3.6349638911535416,10892.979629364643
0.002678114681757665,-10.0,0.001387985913062525,2.3545873004125393,3.6349611658197616,10892.979627204335
0.002764241282287602,-10.0,0.001431536071415258,2.40405952796111,3.6349583628073567,10892.979624912736
0.0028518832421482055,-10.0,0.0014755215921411521,2.4540730622840607,3.6349555104873152,10892.979622504265
0.0029485794452896227,-10.0,0.0015249177614695497,2.5086686604142945,3.6349523635011414,10892.979619759391
0.003018858891010946,-10.0,0.001558927953626409,2.5480557293920976,3.634950076256848,10892.979617706833
0.003082323104427108,-10.0,0.0015907916171107055,2.5848616446014914,3.6349480108170233,10892.979615811957
0.003147668138117292,-10.0,0.001625027423056647,2.6223571281859237,3.6349458841687956,10892.979613820886
0.0032245034979314024,-10.0,0.001664622683126449,2.6650866011981997,3.6349433835742504,10892.979611427883
0.003284691759424206,-10.0,0.001694734869141737,2.699506985596289,3.6349414247613523,10892.979609512873
0.0033519299516614463,-10.0,0.0017278547523282954,2.7388879586743253,3.6349392365151147,10892.979607332092
0.0034046370568252674,-10.0,0.0017544819981005144,2.7681447112513395,3.6349375211821067,10892.979605592258
0.0034562980144643113,-10.0,0.001779735542875713,2.7984053836016924,3.634935839896363,10892.979603861284
0.0035024220359533786,-10.0,0.0018016735382997856,2.823940383472184,3.6349343388081787,10892.979602293753
0.00354874863541175,-10.0,0.0018246302623037298,2.8501576607089523,3.634932831129978,10892.979600698845
0.00359984599054973,-10.0,0.0018495158092698982,2.8786509311726762,3.634931168191629,10892.979598915002
0.003654717979564919,-10.0,0.0018761521378133277,2.909981237703381,3.634929382413104,10892.979596970406
0.0037173356308025547,-10.0,0.0019069845512201978,2.9464162917386725,3.6349273445579913,10892.979594715049
0.003762634418733792,-10.0,0.0019288535243289601,2.971026937279554,3.6349258703374594,10892.97959305881
0.0038044619647701946,-10.0,0.0019492923893346921,2.9943295709660838,3.6349245090895623,10892.979591511814
0.003842168613425516,-10.0,0.0019687147192713503,3.0155946402173086,3.6349232819536432,10892.979590102532
0.0038878578227415344,-10.0,0.0019907847324600416,3.0403406932197385,3.634921795033929,10892.9795883769
0.003923017656170443,-10.0,0.0020070381394231805,3.0613033893509494,3.63492065078316,10892.979587035601
0.003954285867619279,-10.0,0.0020216787133524356,3.07937399424029,3.6349196331843157,10892.979585832967
0.003986774684779572,-10.0,0.0020378483624318103,3.09764890668693,3.634918575864835,10892.979584573059
0.004026300549194048,-10.0,0.002057658055303787,3.120038594671566,3.6349172895316104,10892.97958302609
0.004063811172126826,-10.0,0.002075660263310984,3.140683003189542,3.634916068780286,10892.97958154448
0.0040964009952089405,-10.0,0.0020908927788920737,3.1586781942481914,3.6349150081766672,10892.97958024625
0.004133122317986277,-10.0,0.0021083290308881626,3.1798947897815,3.634913813116823,10892.979578771532
0.004164969826733245,-10.0,0.002123402369792762,3.197837044071533,3.6349127766714306,10892.979577481856
0.004202241858419133,-10.0,0.0021411980716553123,3.2176733532976516,3.6349115636933993,10892.979575960113
