t,cmd,alpha,u,mach,h
0.0,-10.0,0.0,2.4841381935792954,3.728494316339493,8629.700303077698
0.0001253694738021005,-10.0,3.380054592320221e-5,2.662136849649239,3.728488700936038,8629.700303031645
0.0005175824769759877,-10.0,8.930702864202752e-5,3.158635471229894,3.7284711335075285,8629.700302329748
0.0011429777482484958,-10.0,5.908180998126677e-6,3.7908557244593633,3.7284431221053795,8629.700299687745
0.0019367629714362091,-10.0,-0.0004360260010172685,4.378285695763812,3.728407569268801,8629.70029415197
0.0029928930816647136,-10.0,-0.0016589565086691715,4.902548830976659,3.7283602677650043,8629.70028389223
0.004338941671086388,-10.0,-0.00433414300092101,5.306082049222301,3.728299984574051,8629.700267287399
0.006069383019753705,-10.0,-0.009675129736941868,5.587939396495362,3.728222492647916,8629.700241725874
0.008282298887343777,-10.0,-0.01964568477656716,5.767737732074544,3.728123408178979,8629.700203856883
0.011108055741737706,-10.0,-0.037417699745064106,5.882316753916893,3.7279969112391655,8629.70014858404
0.014732496778784666,-10.0,-0.06818715342162614,5.964958578718039,3.727834717707498,8629.700067161068
0.019404001736184645,-10.0,-0.12034172780423869,6.03120616218414,3.7276257835638194,8629.69994365579
0.0254430907554478,-10.0,-0.20707085342937975,6.0767529211490885,3.7273559093818354,8629.699746066199
0.03332875801444114,-10.0,-0.34983888729361234,6.080792024016199,3.7270039281017744,8629.699398087632
0.04389935645224151,-10.0,-0.5865788563733146,6.005035066508905,3.726532755343379,8629.698683767856
0.05761143261585062,-10.0,-0.9567231278743189,5.846739399569732,3.7259219986971073,8629.69706341401
0.06832971791547275,-10.0,-1.284820279816606,6.018161801412643,3.7254438271781942,8629.6949593149
0.07473659703432864,-10.0,-1.4932148692899103,5.582857535271515,3.725157322987573,8629.693217677812
0.08116200979176713,-10.0,-1.7098876254985924,5.333701118240725,3.7248689709717904,8629.691029440202
0.08859954511345436,-10.0,-1.9684510623757732,5.136917503509079,3.724533507938169,8629.687848744781
0.09666106071365489,-10.0,-2.255918998416333,4.943691469897496,3.724167222042494,8629.683484414521
0.10486720681899674,-10.0,-2.5539351802251344,4.7616153468039,3.723790715972752,8629.677902348318
0.11293847873738129,-10.0,-2.8502530664710144,4.588920095184419,3.7234159820803576,8629.67112218221
0.12076906582086613,-10.0,-3.1389937715971974,4.410322246134539,3.7230474552796804,8629.66315810658
0.1283932233904263,-10.0,-3.4198585608973975,4.220436761038717,3.72268321763369,8629.653937525887
0.1359341648336581,-10.0,-3.69618439701884,4.031573213245671,3.7223169998458734,8629.643244864003
0.14350244945002996,-10.0,-3.9709742967927366,3.854793870174508,3.721942836080536,8629.630791242444
0.15113195017731426,-10.0,-4.244457545222393,3.692495866797304,3.7215582998638705,8629.616337706075
0.15880726358867342,-10.0,-4.515153646472186,3.54356472892142,3.7211634078193057,8629.599717085397
0.16649998371219563,-10.0,-4.781261855814932,3.4307775869519315,3.7207589681039974,8629.58080731681
0.1741979383142366,-10.0,-5.041858102609796,3.3045503534990974,3.7203451803996868,8629.55947226792
0.18204359118591637,-10.0,-5.301164096042404,3.1986228442844378,3.719913492198322,8629.535084741467
0.18979927379144215,-10.0,-5.550729299412873,3.0968420265305068,3.719476463506621,8629.508194750362
0.19745683410346473,-10.0,-5.790119877708193,2.9963498914593405,3.719034576448757,8629.47877816291
0.2050656752388298,-10.0,-6.0207584192519015,2.893888340785413,3.7185850006882957,8629.446581012526
0.21270296923112403,-10.0,-6.244797919225402,2.8103049004532075,3.718123035275751,8629.411146134236
0.22059297843877868,-10.0,-6.468289222860962,2.750304926032215,3.717634263162703,8629.371111835611
0.22838945845678119,-10.0,-6.681005289096253,2.692926948903901,3.71713969621202,8629.327985581796
0.23606673004657175,-10.0,-6.882468588081377,2.6334276897360347,3.7166413863053633,8629.281916929616
0.24367617522140256,-10.0,-7.074267544564792,2.5750486125207774,3.7161364065455964,8629.232599677867
0.25127493165772796,-10.0,-7.257957238794936,2.522083530267179,3.715621181159965,8629.179597350312
0.25889591050210503,-10.0,-7.434344493087038,2.4762775137350856,3.7150935483451586,8629.122553342811
0.2665457633911517,-10.0,-7.603565835722916,2.4372848222790684,3.7145530794812243,8629.061263589425
0.27421603838541997,-10.0,-7.765449583471023,2.406918094023283,3.7140004510386073,8628.99564519005
0.2818956810264632,-10.0,-7.919855126104162,2.3780718510513923,3.713436645910477,8628.925661025409
0.28960863883556215,-10.0,-8.067362718026384,2.35457165684312,3.7128600396124236,8628.850953438874
0.29730243356272534,-10.0,-8.207101759148475,2.3330567471713506,3.7122748114493054,8628.77191934255
0.30497505794655216,-10.0,-8.339265955736886,2.313107671218521,3.711681495974043,8628.688520783713
0.3126365582712503,-10.0,-8.46425966750311,2.2950502066812026,3.711079697999019,8628.600588568212
0.32029758948160136,-10.0,-8.582470023166161,2.279211867448282,3.7104689384287726,8628.50792675408
0.32796459170949843,-10.0,-8.694196216138282,2.2656472932787994,3.7098490449770862,8628.410372455064
0.3356392533028253,-10.0,-8.799660384344312,2.2541631780468636,3.7092202204347853,8628.307815563816
0.3433202096251939,-10.0,-8.89904768549529,2.2444469071911683,3.70858292477616,8628.200189204084
0.351005156349804,-10.0,-8.99254169600475,2.2361817262919472,3.7079377093121515,8628.087447911235
0.35869230615295283,-10.0,-9.080342086715664,2.2291097534878794,3.707285093354701,8627.969547989127
0.3663809190819392,-10.0,-9.162666275605789,2.2230457168721274,3.7066255127778067,8627.846437167425
0.374071139066069,-10.0,-9.239742574818427,2.2178605939162863,3.705959327021133,8627.718053811199
