t,cmd,alpha,u,mach,h,delta
0.0,-10.0,0.0,0.7957545099580822,3.8177481495855496,9240.308990311994,0.0
4.522684954144781e-6,-10.0,2.196110992673408e-6,0.7983668440508065,3.8177480012741136,9240.308990311894,3.198437110403078e-9
1.661258969813964e-5,-10.0,8.066623298140906e-6,0.8053500597910395,3.8177476048125483,9240.308990310641,4.324303486770327e-8
4.715519114059625e-5,-10.0,2.2897444271406276e-5,0.8229916931744253,3.8177466032363374,9240.308990301088,3.50227782133704e-7
0.00011330509865849652,-10.0,5.501667307398574e-5,0.8612004347412611,3.8177444340009488,9240.308990249025,2.0445344976531354e-6
0.00020242481447324884,-10.0,9.827415415788656e-5,0.912674339343691,3.817741511528865,9240.308990111012,6.621389389493836e-6
0.0003032661476836671,-10.0,0.00014725686333385486,0.9709256016399254,3.8177382046818527,9240.308989860894,1.510193606387319e-5
0.0003993513424853558,-10.0,0.00019387609645001808,1.0264181624068198,3.8177350538087884,9240.308989529749,2.657938930681339e-5
0.0005486261071513121,-10.0,0.00026634476133883807,1.1126000195202397,3.8177301587324894,9240.308988835786,5.129401715891096e-5
0.0007134948837487789,-10.0,0.00034632009754504117,1.2077561693402088,3.817724752312885,9240.308987815424,8.882342072863555e-5
0.0008664926937223509,-10.0,0.00042058726618579117,1.2960333242810786,3.8177197351895016,9240.308986629801,0.00013377217507379844
0.0010612990901763403,-10.0,0.0005146208178913578,1.4081712521672844,3.8177133471020355,9240.308984787629,0.00020585263439076455
0.0012139726170042188,-10.0,0.0005882496451066355,1.496114405891431,3.8177083406569556,9240.308983083163,0.00027451308471556724
0.0014393382545935382,-10.0,0.0006974414515815732,1.6261404688178507,3.817700950540137,9240.308980149435,0.0003963521396606335
0.0015993511642555043,-10.0,0.0007752128945457455,1.7180020335250659,3.817695703474125,9240.308977765675,0.0004982970397276199
0.0017743907443258534,-10.0,0.0008599383792094875,1.8185040881718633,3.8176899636842334,9240.3089748741,0.0006250643959393626
0.0019419852964660364,-10.0,0.0009407037945918912,1.914234575017444,3.8176844680522675,9240.30897182378,0.0007618369532147998
0.0020652079295771886,-10.0,0.0009989243293266083,1.985175939568407,3.817680427444932,9240.30896940569,0.000872261078264915
0.002177161403864381,-10.0,0.001051308738476506,2.049711185447739,3.817676756376492,9240.30896708178,0.0009799867272270715
0.0022638532467721397,-10.0,0.0010930949996364077,2.0987073543914265,3.8176739136696627,9240.308965198972,0.0010683230136206263
0.002346947881728302,-10.0,0.0011326996908685672,2.146438634082486,3.817671188925647,9240.308963326432,0.0011570759428676664
0.0024424276384468735,-10.0,0.0011764956892229522,2.2006374782515152,3.817668058068763,9240.308961092183,0.0012640482659386696
0.0025201666462696263,-10.0,0.0012133250318780277,2.244047240143281,3.8176655089502334,9240.30895920596,0.0013551285546630342
0.0025743425811756426,-10.0,0.0012386073127488393,2.2753445462726036,3.817663732484621,9240.308957856992,0.0014207350593144813
0.0026260507955555602,-10.0,0.0012634112267565652,2.304887936150407,3.817662036940426,9240.308956542855,0.0014849987102430265
0.002681840856060651,-10.0,0.0012889781834356233,2.3372377269036684,3.8176602075528545,9240.308955095732,0.001556149105991279
0.0027285687666101814,-10.0,0.0013103831178440182,2.363773509414408,3.8176586753202475,9240.308953859952,0.001617199592321671
0.0027866878309252305,-10.0,0.0013382507707183744,2.395945987273736,3.8176567695660317,9240.308952293275,0.0016949972454062508
0.0028308902011437674,-10.0,0.0013583117599023599,2.4212672363377954,3.8176553201507755,9240.308951078943,0.001755556690869363
0.0028760861106910313,-10.0,0.0013793382967394858,2.446631269562323,3.81765383815854,9240.308949818538,0.0018187254398190284
0.002922534170826976,-10.0,0.0014007216705934679,2.4737901545912653,3.817652315107953,9240.308948503216,0.001884964952380233
0.0029602909788591664,-10.0,0.00141808361859103,2.4941976782067687,3.8176510770508094,9240.308947418673,0.001939800493760235
0.0029942237549823287,-10.0,0.0014336085439634503,2.513480351214258,3.817649964384134,9240.308946431944,0.00198984292389779
0.0030417153357309872,-10.0,0.0014562441842319413,2.5398387320766003,3.8176484071217685,9240.308945032684,0.002061094430628657
0.0030762849259339717,-10.0,0.0014721364542436197,2.558760511731098,3.8176472735762976,9240.308944000486,0.002113852029773673
0.0031094951315957077,-10.0,0.0014873257488946688,2.5771800745683775,3.817646184606614,9240.30894299814,0.002165245590748478
0.003144336330057939,-10.0,0.001503242216400468,2.596734676100508,3.8176450421573316,9240.308941934607,0.002219913516800883
0.0031839564000393757,-10.0,0.001521485249887776,2.6197381156339357,3.817643743008713,9240.308940711495,0.0022830160714333043
0.0032145548062139945,-10.0,0.0015350193306495606,2.6372612402468802,3.8176427396823835,9240.308939756856,0.002332433810335492
0.003248217401199698,-10.0,0.001550358700109562,2.65570329220223,3.8176416358816985,9240.30893869588,0.0023874910029254345
0.003276735451670703,-10.0,0.001562874040477517,2.6713925831976324,3.817640700772381,9240.308937788166,0.0024347014394841045
0.0033052066595911462,-10.0,0.0015757687360684104,2.6878039303702645,3.8176397671996236,9240.30893687413,0.002482354584121415
0.0033333918351460237,-10.0,0.0015879950986084062,2.7041670850256803,3.817638843007931,9240.308935961595,0.002530042092619452
0.0033586116677170146,-10.0,0.0015990933323205253,2.7188039300793316,3.8176380160496546,9240.308935138837,0.0025731461628055253
0.0033820064155213915,-10.0,0.0016096601453965034,2.731668293187103,3.817637248937084,9240.308934369927,0.002613497943808831
0.0034062409790983133,-10.0,0.00162012497763785,2.7452488935400394,3.817636454285798,9240.308933567932,0.0026556714054268567
